N,MARCA,MODELO,ano,KILOMETRAJE,cilindrada,combustible,sis_entrega,NO,PCV_NAFTA,EGR,NO,CAT
1,PEUGOT,504,1996,"315,000",2.3,DIESEL,PRE CAMARA,---,NO,NO,NO,
2,FIAT,SIENA,2013,"75,000",1.4,GNC,INYECCION MULTIPUNTO,,NO,,SI,si
3,KIA,PICANTO,2015,"8,200",1.6,NAFTA,MULTIPUNTO,,NO,,SI,si
4,PEUGOT,308,2011,"17,000",1.6,NAFTA,MULTIPUNTO,,,,SI,si
5,CITROEN,C3,2007,"80,000",1.6,NAFTA,MULTIPUNTO,,,,SI,si
6,HONDA,CITY,2011,"80,000",1.8,NAFTA,MULTIPUNTO,,,,SI,si
7,VOLKSWAGEN,GOL TREND,2015,"2,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
8,FIAT,SIENA,2012,"75,000",1.4,GAS,MULTIPUNTO,,si,,NO,si
9,RENAULT,19,1999,"220,000",1.9,DIESEL,PRE CAMARA,,NO,NO,NO,
10,RENAULT,STEPWAY,2013,"22,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
11,CITROEN,C3,2010,"14,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
12,FIAT,SIENA,1999,"225,000",1.7,DIESEL,PRE CAMARA,,NO,NO,NO,
13,PEUGOT,504,1999,"315,000",2.3,DIESEL,PRE CAMARA,,NO,NO,NO,
14,PEUGOT,308,2015,"17,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
15,FORD,FIESTA,1996,"145,000",1.6,NAFTA,CARBURADOR,,,,NO,
16,VOLKSWAGEN,BORA,2008,"130,000",2,DIESEL,COMMON RAIL,,NO,SI,NO,
17,RENAULT,9,1995,"300,000",1.6,GNC,CARBURADOR,,,,NO,
18,HYUNDAI,ATOS PRIME,2011,"50,000",1,NAFTA,MULTIPUNTO,,,,SI,
19,KIA,PICANTO,2010,"15,000",1,NAFTA,MULTIPUNTO,,,,SI,
20,PEUGOT,308,2015,"17,300",1.6,NAFTA,MULTIPUNTO,,,,SI,
21,CITROEN,C3,2005,"85,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
22,HONDA,CITY,2009,"95,000",1.8,NAFTA,MULTIPUNTO,,,,NO,
23,VOLKSWAGEN,GOL TREND,2016,"2,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
24,FORD,FIESTA,1997,"147,300",1.6,NAFTA,CARBURADOR,,,,NO,
25,VOLKSWAGEN,BORA,2009,"130,000",2,DIESEL,COMMON RAIL,,NO,SI,NO,
26,HYUNDAI,ATOS PRIME,2009,"50,000",1,NAFTA,MULTIPUNTO,,,,SI,
27,RENAULT,9,1994,"325,000",1.6,GAS (100%),CARBURADOR,,,,NO,
28,VOLKSWAGEN,GOL TREND,2017,"2,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
29,RENAULT,STEPWAY,2012,"22,000",,NAFTA,MULTIPUNTO,,,,SI,
30,RENAULT,19,1997,"220,000",1.9,DIESEL,PRE CAMARA,,NO,NO,NO,
31,CITROEN,C3,2012,"14,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
32,HYUNDAI,ATOS PRIME,2007,"50,000",1,NAFTA,MULTIPUNTO,,,,SI,
33,FIAT,SIENA,2001,"225,000",1.7,DIESEL,PRE CAMARA,,NO,NO,NO,
34,VOLKSWAGEN,UP,2015,"27,000",,NAFTA,MULTIPUNTO,,,,SI,
35,CHEVROLET,ONIX,2017,"28,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
36,RENAULT,KANGOO,2015,,1.6,NAFTA,MULTIPUNTO,,,,SI,
37,RENAULT,KANGOO,2002,"90,000",1.6,NAFTA,MULTIPUNTO,,,,NO,
38,RENAULT,19,2000,"70,000",1.6,NAFTA,MULTIPUNTO,,,,NO,
