PROVINCIA,Gas Oil,GN,Nafta
BUENOS AIRES,3272557.91385486,1079202868.24487,3430144.19420886
CAPITAL FEDERAL,406448.300098643,182992910.055543,889660.658151105
CATAMARCA,47125.7240976651,15241821.2168732,72599.1089619398
CHACO,273476.128532037,1123.60679626465,185453.524405552
CHUBUT,235624.111032257,1553130.58789063,210347.266954867
CORDOBA,1250381.37569525,348423882.40099,777491.654623249
CORRIENTES,172459.790985938,4866.22894287109,483809.354697421
ENTRE RIOS,413004.330800351,59277040.8082423,282267.366426245
FORMOSA,65104.2041819291,0,87037.0051831305
JUJUY,110150.99336192,35597338.5570374,93618.5233313236
LA PAMPA,322665.522001846,10458903.3476563,251272.804899752
LA RIOJA,37315.731096819,6789506,58563.2159376144
MENDOZA,388643.219071999,136402878.609546,330179.077236065
MISIONES,226904.002450162,1284.15000152588,228734.557505267
NEUQUEN,226481.304503739,11358701.105957,217019.040089356
RIO NEGRO,289514.230898455,20786774.5425329,250501.204181526
SALTA,237959.101683855,67586101.324733,186436.171299603
SAN JUAN,121816.344491672,49989944.8828125,110429.372072756
SAN LUIS,121499.466289814,40957627.734375,101081.019352616
SANTA CRUZ,136332.650828537,0,132839.055108134
SANTA FE,1438109.09101862,199839813.299254,788244.259581481
SANTIAGO DEL ESTERO,219371.808405995,43403933.2402344,133478.793282213
TIERRA DEL FUEGO,43175.948977489,723997,71313.00984478
TUCUMAN,250203.032149712,96741933.707695,243374.509088548
